UID,Country_Region,Date,ConfirmedCases,Fatalities
84013169,US,5/30/21,12383167,210648
84013171,US,5/31/21,12385780,210694
84013173,US,6/1/21,12395325,210849
84013175,US,6/2/21,12401330,211050
84013177,US,6/3/21,12408842,211300
84013179,US,6/4/21,12414016,211479
84013181,US,6/5/21,12420780,211838
84013183,US,6/6/21,12423451,211897
84013185,US,6/7/21,12427338,211966
84013187,US,6/8/21,12431144,212068
84013193,US,6/9/21,12435262,212232
84013195,US,6/10/21,12439519,212377
84013197,US,6/11/21,12455512,212675
84013189,US,6/12/21,12459078,212783
84013191,US,6/13/21,12461225,212800
84013199,US,6/14/21,12464678,212833
84013201,US,6/15/21,12467919,212919
84013205,US,6/16/21,12471524,213072
84013207,US,6/17/21,12475096,213208
84013209,US,6/18/21,12488612,213634
84013211,US,6/19/21,12492013,213750
84013213,US,6/20/21,12494205,213764
84013215,US,6/21/21,12497745,213826
84013217,US,6/22/21,12500887,213930
84013219,US,6/23/21,12505397,214077
84013221,US,6/24/21,12510220,214214
84080013,US,6/25/21,12526064,214549
84013223,US,6/26/21,12529826,214624
84013225,US,6/27/21,12532013,214642
84013227,US,6/28/21,12537168,214685
84013229,US,6/29/21,12535814,214780
84013231,US,6/30/21,12541491,214914
84013233,US,7/1/21,12546503,214984
84013235,US,7/2/21,12566360,215275
84013237,US,7/3/21,12568209,215301
84013239,US,7/4/21,12569561,215308
84013241,US,7/5/21,12575017,215391
84013243,US,7/6/21,12582212,215518
84013245,US,7/7/21,12589435,215642
84013247,US,7/8/21,12596552,215742
84013249,US,7/9/21,12628416,215994
84013251,US,7/10/21,12631678,216031
84013253,US,7/11/21,12639327,216118
84013255,US,7/12/21,12650650,216201
84013257,US,7/13/21,12660484,216312
84013259,US,7/14/21,12672628,216414
84013261,US,7/15/21,12682605,216545
84013263,US,7/16/21,12738952,216842
84013265,US,7/17/21,12742582,216853
84013267,US,7/18/21,12756065,216904
84013269,US,7/19/21,12775075,216980
84013271,US,7/20/21,12791017,217027
84013273,US,7/21/21,12806956,217127
84013275,US,7/22/21,12826322,217225
84013277,US,7/23/21,12912241,217575
84013279,US,7/24/21,12923840,217620
84013281,US,7/25/21,12943369,217671
84013283,US,7/26/21,12971600,217757
84013285,US,7/27/21,12993892,217850
84013287,US,7/28/21,13017028,217957
84013289,US,7/29/21,13041955,218080
84090013,US,7/30/21,13172428,218713
84013291,US,7/31/21,13188131,218782
84013293,US,8/1/21,13219108,218942
84013295,US,8/2/21,13253228,219059
84013297,US,8/3/21,13287272,219207
84013299,US,8/4/21,13317731,219357
84013301,US,8/5/21,13356074,219502
84013303,US,8/6/21,13528793,220310
84013305,US,8/7/21,13551589,220431
